#
1
1065
45;1;114489;00006192;;;;;107.00;0;416;;;000000000001;;;;0002699472008412;9280440301267847;0000000001;14523;0140413201;18/19450/203;;;;;;;;;;;;;;;;;;13.07.2021 18:27:00
55;1;114489;00006192;;;;2.000;107.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114489;;;;;;;;;;;;;;;;;;
42;1;114490;00006192;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114490;;;;;;;;;;;;;;;;;;
11;1;114490;00006192;116955;;59.50;1.000;59.67;0;416;59.33;59.33;000000000001;;4600721018573;59.50;;;0000000001;;;1/416/114490;;;;;;1;;;;;;;;;;;;
14;1;114490;00006192;116955;;000000000002;000000000002;0.00;0;416;59.33;59.33;000000000001;;4600721018573;59.50;;;0000000001;;;1/416/114490;;;;;;;;;;;;;;;;;;
16;1;114490;00006192;116955;;;1.000;0.00;0;416;59.33;59.33;000000000001;;4600721018573;;;;0000000001;;;1/416/114490;;;;;;;;;;;;;;;;;;
11;1;114490;00006192;101640;;129.00;1.000;129.33;0;416;118.67;118.67;000000000001;10005353;4600587015631;129.00;;;0000000001;;;1/416/114490;;;;;;1;;197400473191521120001GHZBV4RMQAAG2MOIVSGXFGJXDA2QY32OIZZFGRLAICJEMF7AFIXPM7XT7MCBPMKELXXHN4TR4T7XWT5VHILJEHNYV7KGRY3KWXE33TJITZVIDWIR2KJKBZNM2DUEKTWTY;;;;;;;;;;
14;1;114490;00006192;101640;;000000000002;000000000002;0.00;0;416;118.67;118.67;000000000001;10005353;4600587015631;129.00;;;0000000001;;;1/416/114490;;;;;;;;;;;;;;;;;;
16;1;114490;00006192;101640;;;1.000;0.00;0;416;118.67;118.67;000000000001;10005353;4600587015631;;;;0000000001;;;1/416/114490;;;;;;;;197400473191521120001GHZBV4RMQAAG2MOIVSGXFGJXDA2QY32OIZZFGRLAICJEMF7AFIXPM7XT7MCBPMKELXXHN4TR4T7XWT5VHILJEHNYV7KGRY3KWXE33TJITZVIDWIR2KJKBZNM2DUEKTWTY;;;;;;;;;;
15;1;114490;00006192;;;2;10.00;10.00;0;416;7;5;000000000001;;;;;;0000000001;;;1/416/114490;;;;;;;;;;;;;;;;;;
41;1;114490;00006192;;0000000002;1;178.00;178.00;0;416;;;0;;;0;;;0000000001;;;1/416/114490;;;;;;;;;;;;;;;;;;
43;1;114490;00006192;;0000000002;1;178.00;178.00;0;416;;;000000000001;;;;;;0000000001;;;19/19451/203;;;;;;;;;;;;;;;;;;
120;1;114490;00006192;;;0.00;;0.00;0;416;;;000000000001;;;;;;0000000001;;;1/416/114490;;;;;;;;;;;;;;;;;;
49;1;114490;00006192;;;;;178.00;0;416;;;000000000001;;;;;;0000000001;;;19/19451/203;;;;;;;;;;;;;;;;;;
45;1;114490;00006192;;;;;178.00;0;416;;;000000000001;;;;0002699472008412;9280440301267847;0000000001;14524;3410493924;19/19451/203;;;;;;;;;;;;;;;;;;13.07.2021 18:48:00
55;1;114490;00006192;;;;2.000;178.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114490;;;;;;;;;;;;;;;;;;
42;1;114491;00006192;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114491;;;;;;;;;;;;;;;;;;
11;1;114491;00006192;117801;;615.00;1.000;615.45;0;416;488.55;488.55;000000000001;;4850019411054;615.00;;;0000000001;;;1/416/114491;;;;;;1;;203300782572761018001CAAECJ24IK772TYOK2375BKPVICYUWFZ3VRKT4VRQLMCRSAZ5RVBZ22BGWDZXXPSF4NCYOPY2YBKTU7DIOIY4YDM5NFAWLKKZ2ZOGFX7ZR4OGM3JG5ON3DDBNKN4BUA5Y;;;;;;;;;;
14;1;114491;00006192;117801;;000000000002;000000000002;0.00;0;416;488.55;488.55;000000000001;;4850019411054;615.00;;;0000000001;;;1/416/114491;;;;;;;;;;;;;;;;;;
16;1;114491;00006192;117801;;;1.000;0.00;0;416;488.55;488.55;000000000001;;4850019411054;;;;0000000001;;;1/416/114491;;;;;;;;203300782572761018001CAAECJ24IK772TYOK2375BKPVICYUWFZ3VRKT4VRQLMCRSAZ5RVBZ22BGWDZXXPSF4NCYOPY2YBKTU7DIOIY4YDM5NFAWLKKZ2ZOGFX7ZR4OGM3JG5ON3DDBNKN4BUA5Y;;;;;;;;;;
15;1;114491;00006192;;;2;126.00;126.00;0;416;7;5;000000000001;;;;;;0000000001;;;1/416/114491;;;;;;;;;;;;;;;;;;
11;1;114491;00006192;106825;;59.50;1.000;59.55;0;416;53.45;53.45;000000000001;;5449000228970;59.50;;;0000000001;;;1/416/114491;;;;;;0;;;;;;;;;;;;
14;1;114491;00006192;106825;;000000000002;000000000002;0.00;0;416;53.45;53.45;000000000001;;5449000228970;59.50;;;0000000001;;;1/416/114491;;;;;;;;;;;;;;;;;;
16;1;114491;00006192;106825;;;1.000;0.00;0;416;53.45;53.45;000000000001;;5449000228970;;;;0000000001;;;1/416/114491;;;;;;;;;;;;;;;;;;
15;1;114491;00006192;;;2;6.00;6.00;0;416;7;5;000000000001;;;;;;0000000001;;;1/416/114491;;;;;;;;;;;;;;;;;;
41;1;114491;00006192;;0000000002;1;542.00;542.00;0;416;;;0;;;0;;;0000000001;;;1/416/114491;;;;;;;;;;;;;;;;;;
43;1;114491;00006192;;0000000002;1;542.00;542.00;0;416;;;000000000001;;;;;;0000000001;;;20/19453/203;;;;;;;;;;;;;;;;;;
120;1;114491;00006192;;;0.00;;0.00;0;416;;;000000000001;;;;;;0000000001;;;1/416/114491;;;;;;;;;;;;;;;;;;
49;1;114491;00006192;;;;;542.00;0;416;;;000000000001;;;;;;0000000001;;;20/19453/203;;;;;;;;;;;;;;;;;;
45;1;114491;00006192;;;;;542.00;0;416;;;000000000001;;;;0002699472008412;9280440301267847;0000000001;14525;0040204431;20/19453/203;;;;;;;;;;;;;;;;;;13.07.2021 18:49:00
55;1;114491;00006192;;;;2.000;542.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114491;;;;;;;;;;;;;;;;;;
42;1;114492;00006192;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114492;;;;;;;;;;;;;;;;;;
11;1;114492;00006192;117960;;138.00;1.000;138.00;0;416;138.00;138.00;000000000002;;46198532;138.00;;;0000000001;;;1/416/114492;;;;;;4;00000046198532X8P-z,vACMogBV8;;;;;;;;;;;
14;1;114492;00006192;117960;;000000000002;000000000002;0.00;0;416;138.00;138.00;000000000002;;46198532;138.00;;;0000000001;;;1/416/114492;;;;;;;;;;;;;;;;;;
16;1;114492;00006192;117960;;;1.000;0.00;0;416;138.00;138.00;000000000002;;46198532;;;;0000000001;;;1/416/114492;;;;;;;00000046198532X8P-z,vACMogBV8;;;;;;;;;;;
